0	.001	1E-3	1000
0	.5	1E-3	1000
0	1	1E-3	1000
0	1.5	1E-3	1000

6.28	.001	1E-3	1000
6.28	.5	1E-3	1000
6.28	1	1E-3	1000
6.28	1.5	1E-3	1000

-6.28	.001	1E-3	1000
-6.28	.5	1E-3	1000
-6.28	1	1E-3	1000
-6.28	1.5	1E-3	1000

12.56	.001	1E-3	1000
12.56	.5	1E-3	1000
12.56	1	1E-3	1000
12.56	1.5	1E-3	1000

-12.56	.001	1E-3	1000
-12.56	.5	1E-3	1000
-12.56	1	1E-3	1000
-12.56	1.5	1E-3	1000

12.56	-2.001	1E-3	1000
12.56	-2.5	1E-3	1000
12.56	-3	1E-3	1000
12.56	-3.5	1E-3	1000
12.56	-4	1E-3	1000
12.56	-4.5	1E-3	1000

-12.56	2.001	1E-3	1000
-12.56	2.5	1E-3	1000
-12.56	3	1E-3	1000
-12.56	3.5	1E-3	1000
-12.56	4	1E-3	1000
-12.56	4.5	1E-3	1000
